"basonym"	"new_name"
"Lactobacillus argentoratensis"	"Lactiplantibacillus argentoratensis"
"Lactobacillus acetotolerans"	"Lactobacillus acetotolerans"
"Lactobacillus acidophilus"	"Lactobacillus acidophilus"
"Lactobacillus amylolyticus"	"Lactobacillus amylolyticus"
"Lactobacillus amylovorus"	"Lactobacillus amylovorus"
"Lactobacillus apis"	"Lactobacillus apis"
"Lactobacillus bombicola"	"Lactobacillus bombicola"
"Lactobacillus colini"	"Lactobacillus colini"
"Lactobacillus crispatus"	"Lactobacillus crispatus"
"Lactobacillus delbrueckii subsp. bulgaricus"	"Lactobacillus delbrueckii subsp. bulgaricus"
"Lactobacillus delbrueckii subsp. delbrueckii"	"Lactobacillus delbrueckii subsp. delbrueckii"
"Lactobacillus delbrueckii subsp. indicus"	"Lactobacillus delbrueckii subsp. indicus"
"Lactobacillus delbrueckii subsp. jakobsenii"	"Lactobacillus delbrueckii subsp. jakobsenii"
"Lactobacillus delbrueckii subsp. lactis"	"Lactobacillus delbrueckii subsp. lactis"
"Lactobacillus delbrueckii subsp. sunkii"	"Lactobacillus delbrueckii subsp. sunkii"
"Lactobacillus equicursoris"	"Lactobacillus equicursoris"
"Lactobacillus fornicalis"	"Lactobacillus fornicalis"
"Lactobacillus gallinarum"	"Lactobacillus gallinarum"
"Lactobacillus gasseri"	"Lactobacillus gasseri"
"Lactobacillus gigeriorum"	"Lactobacillus gigeriorum"
"Lactobacillus hamsteri"	"Lactobacillus hamsteri"
"Lactobacillus helsingborgensis"	"Lactobacillus helsingborgensis"
"Lactobacillus helveticus"	"Lactobacillus helveticus"
"Lactobacillus hominis"	"Lactobacillus hominis"
"Lactobacillus iners"	"Lactobacillus iners"
"Lactobacillus intestinalis"	"Lactobacillus intestinalis"
"Lactobacillus jensenii"	"Lactobacillus jensenii"
"Lactobacillus johnsonii"	"Lactobacillus johnsonii"
"Lactobacillus kalixensis"	"Lactobacillus kalixensis"
"Lactobacillus kefiranofaciens subsp. kefiranofaciens"	"Lactobacillus kefiranofaciens subsp. kefiranofaciens"
"Lactobacillus kefiranofaciens subsp. kefirgranum"	"Lactobacillus kefiranofaciens subsp. kefirgranum"
"Lactobacillus kimbladii"	"Lactobacillus kimbladii"
"Lactobacillus kitasatonis"	"Lactobacillus kitasatonis"
"Lactobacillus kullabergensis"	"Lactobacillus kullabergensis"
"Lactobacillus melliventris"	"Lactobacillus melliventris"
"Lactobacillus mulieris"	"Lactobacillus mulieris"
"Lactobacillus panisapium"	"Lactobacillus panisapium"
"Lactobacillus paragasseri"	"Lactobacillus paragasseri"
"Lactobacillus pasteurii"	"Lactobacillus pasteurii"
"Lactobacillus porci"	"Lactobacillus porci"
"Lactobacillus psittaci"	"Lactobacillus psittaci"
"Lactobacillus rodentium"	"Lactobacillus rodentium"
"Lactobacillus taiwanensis"	"Lactobacillus taiwanensis"
"Lactobacillus ultunensis"	"Lactobacillus ultunensis"
"Lactobacillus xujianguonis"	"Lactobacillus xujianguonis"
"Lactobacillus achengensis"	"Lapidilactobacillus achengensis"
"Lactobacillus bayanensis"	"Lapidilactobacillus bayanensis"
"Lactobacillus concavus"	"Lapidilactobacillus concavus"
"Lactobacillus dextrinicus"	"Lapidilactobacillus dextrinicus"
"Lactobacillus gannanensis"	"Lapidilactobacillus gannanensis"
"Lactobacillus mulanensis"	"Lapidilactobacillus mulanensis"
"Lactobacillus wuchangensis"	"Lapidilactobacillus wuchangensis"
"Lactobacillus curvatus"	"Latilactobacillus curvatus"
"Lactobacillus fuchuensis"	"Latilactobacillus fuchuensis"
"Lactobacillus graminis"	"Latilactobacillus graminis"
"Lactobacillus sakei subsp. carnosus"	"Latilactobacillus sakei subsp. carnosus"
"Lactobacillus sakei subsp. sakei"	"Latilactobacillus sakei subsp. sakei"
"Lactobacillus buchneri subsp. buchneri"	"Lentilactobacillus buchneri subsp. buchneri"
"Lactobacillus buchneri subsp. silagei"	"Lentilactobacillus buchneri subsp. silagei"
"Lactobacillus curieae"	"Lentilactobacillus curieae"
"Lactobacillus diolivorans"	"Lentilactobacillus diolivorans"
"Lactobacillus farraginis"	"Lentilactobacillus farraginis"
"Lactobacillus hilgardii"	"Lentilactobacillus hilgardii"
"Lactobacillus kefiri"	"Lentilactobacillus kefiri"
"Lactobacillus kisonensis"	"Lentilactobacillus kisonensis"
"Lactobacillus otakiensis"	"Lentilactobacillus otakiensis"
"Lactobacillus parabuchneri"	"Lentilactobacillus parabuchneri"
"Lactobacillus parafarraginis"	"Lentilactobacillus parafarraginis"
"Lactobacillus parakefiri"	"Lentilactobacillus parakefiri"
"Lactobacillus raoultii"	"Lentilactobacillus raoultii"
"Lactobacillus rapi"	"Lentilactobacillus rapi"
"Lactobacillus sunkii"	"Lentilactobacillus sunkii"
"Lactobacillus senioris"	"Lentilactobacillus senioris"
"Lactobacillus acidifarinae"	"Levilactobacillus acidifarinae"
"Lactobacillus angrenensis"	"Levilactobacillus angrenensis"
"Lactobacillus bambusae"	"Levilactobacillus bambusae"
"Lactobacillus brevis"	"Levilactobacillus brevis"
"Lactobacillus cerevisiae"	"Levilactobacillus cerevisiae"
"Lactobacillus fujinensis"	"Levilactobacillus fujinensis"
"Lactobacillus fuyuanensis"	"Levilactobacillus fuyuanensis"
"Lactobacillus hammesii"	"Levilactobacillus hammesii"
"Lactobacillus huananensis"	"Levilactobacillus huananensis"
"Lactobacillus koreensis"	"Levilactobacillus koreensis"
"Lactobacillus lindianensis"	"Levilactobacillus lindianensis"
"Lactobacillus mulengensis"	"Levilactobacillus mulengensis"
"Lactobacillus namurensis"	"Levilactobacillus namurensis"
"Lactobacillus parabrevis"	"Levilactobacillus parabrevis"
"Lactobacillus paucivorans"	"Levilactobacillus paucivorans"
"Lactobacillus senmaizukei"	"Levilactobacillus senmaizukei"
"Lactobacillus spicheri"	"Levilactobacillus spicheri"
"Lactobacillus suantsaii"	"Levilactobacillus suantsaii"
"Lactobacillus suantsaiihabitans"	"Levilactobacillus suantsaiihabitans"
"Lactobacillus tangyuanensis"	"Levilactobacillus tangyuanensis"
"Lactobacillus tongjiangensis"	"Levilactobacillus tongjiangensis"
"Lactobacillus yonginensis"	"Levilactobacillus yonginensis"
"Lactobacillus zymae"	"Levilactobacillus zymae"
"Lactobacillus enshiensis"	"Levilactobacillus enshinensis"
"Lactobacillus acidipiscis"	"Ligilactobacillus acidipiscis"
"Lactobacillus agilis"	"Ligilactobacillus agilis"
"Lactobacillus animalis"	"Ligilactobacillus animalis"
"Lactobacillus apodemi"	"Ligilactobacillus apodemi"
"Lactobacillus araffinosus"	"Ligilactobacillus araffinosus"
"Lactobacillus aviarius"	"Ligilactobacillus aviarius"
"Lactobacillus ceti"	"Ligilactobacillus ceti"
"Lactobacillus equi"	"Ligilactobacillus equi"
"Lactobacillus faecis"	"Ligilactobacillus faecis"
"Lactobacillus hayakitensis"	"Ligilactobacillus hayakitensis"
"Lactobacillus murinus"	"Ligilactobacillus murinus"
"Lactobacillus pobuzihii"	"Ligilactobacillus pobuzihii"
"Lactobacillus ruminis"	"Ligilactobacillus ruminis"
"Lactobacillus saerimneri"	"Ligilactobacillus saerimneri"
"Lactobacillus salitolerans"	"Ligilactobacillus salitolerans"
"Lactobacillus salivarius"	"Ligilactobacillus salivarius"
"Lactobacillus alvi"	"Limosilactobacillus alvi"
"Lactobacillus antri"	"Limosilactobacillus antri"
"Lactobacillus caviae"	"Limosilactobacillus caviae"
"Lactobacillus coleohominis"	"Limosilactobacillus coleohominis"
"Lactobacillus equigenerosi"	"Limosilactobacillus equigenerosi"
"Lactobacillus fermentum"	"Limosilactobacillus fermentum"
"Lactobacillus frumenti"	"Limosilactobacillus frumenti"
"Lactobacillus gastricus"	"Limosilactobacillus gastricus"
"Lactobacillus gorillae"	"Limosilactobacillus gorillae"
"Lactobacillus ingluviei"	"Limosilactobacillus ingluviei"
"Lactobacillus mucosae"	"Limosilactobacillus mucosae"
"Lactobacillus oris"	"Limosilactobacillus oris"
"Lactobacillus panis"	"Limosilactobacillus panis"
"Lactobacillus pontis"	"Limosilactobacillus pontis"
"Lactobacillus reuteri"	"Limosilactobacillus reuteri"
"Lactobacillus secaliphilus"	"Limosilactobacillus secaliphilus"
"Lactobacillus vaginalis"	"Limosilactobacillus vaginalis"
"Lactobacillus aquaticus"	"Liquorilactobacillus aquaticus"
"Lactobacillus cacaonum"	"Liquorilactobacillus cacaonum"
"Lactobacillus capillatus"	"Liquorilactobacillus capillatus"
"Lactobacillus ghanensis"	"Liquorilactobacillus ghanensis"
"Lactobacillus hordei"	"Liquorilactobacillus hordei"
"Lactobacillus mali"	"Liquorilactobacillus mali"
"Lactobacillus nagelii"	"Liquorilactobacillus nagelii"
"Lactobacillus oeni"	"Liquorilactobacillus oeni"
"Lactobacillus satsumensis"	"Liquorilactobacillus satsumensis"
"Lactobacillus sicerae"	"Liquorilactobacillus sicerae"
"Lactobacillus sucicola"	"Liquorilactobacillus sucicola"
"Lactobacillus uvarum"	"Liquorilactobacillus uvarum"
"Lactobacillus vini"	"Liquorilactobacillus vini"
"Lactobacillus backii"	"Loigolactobacillus backii"
"Lactobacillus bifermentans"	"Loigolactobacillus bifermentans"
"Lactobacillus binensis"	"Loigolactobacillus binensis"
"Lactobacillus coryniformis subsp. coryniformis"	"Loigolactobacillus coryniformis subsp. coryniformis"
"Lactobacillus coryniformis subsp. torquens"	"Loigolactobacillus coryniformis subsp. torquens"
"Lactobacillus iwatensis"	"Loigolactobacillus iwatensis"
"Lactobacillus jiayinensis"	"Loigolactobacillus jiayinensis"
"Lactobacillus rennini"	"Loigolactobacillus rennini"
"Lactobacillus zhaoyuanensis"	"Loigolactobacillus zhaoyuanensis"
"Lactobacillus selangorensis"	"Paralactobacillus selangorensis"
"Lactobacillus hokkaidonensis"	"Paucilactobacillus hokkaidonensis"
"Lactobacillus kaifaensis"	"Paucilactobacillus kaifaensis"
"Lactobacillus nenjiangensis"	"Paucilactobacillus nenjiangensis"
"Lactobacillus oligofermentans"	"Paucilactobacillus oligofermentans"
"Lactobacillus suebicus"	"Paucilactobacillus suebicus"
"Lactobacillus vaccinostercus"	"Paucilactobacillus vaccinostercus"
"Lactobacillus wasatchensis"	"Paucilactobacillus wasatchensis"
"Lactobacillus harbinensis"	"Schleiferilactobacillus harbinensis"
"Lactobacillus perolens"	"Schleiferilactobacillus perolens"
"Lactobacillus shenzhenensis"	"Schleiferilactobacillus shenzhenensis"
"Lactobacillus collinoides"	"Secundilactobacillus collinoides"
"Lactobacillus kimchicus"	"Secundilactobacillus kimchicus"
"Lactobacillus malefermentans"	"Secundilactobacillus malefermentans"
"Lactobacillus mixtipabuli"	"Secundilactobacillus mixtipabuli"
"Lactobacillus odoratitofui"	"Secundilactobacillus odoratitofui"
"Lactobacillus oryzae"	"Secundilactobacillus oryzae"
"Lactobacillus paracollinoides"	"Secundilactobacillus paracollinoides"
"Lactobacillus pentosiphilus"	"Secundilactobacillus pentosiphilus"
"Lactobacillus silagei"	"Secundilactobacillus silagei"
"Lactobacillus silagincola"	"Secundilactobacillus silagincola"
"Lactobacillus similis"	"Secundilactobacillus similis"
